property_name,bhk,areaWithType,square_feet,transaction,status,floorNum,totalFloor,furnishing,facing,description,price_per_sqft,price
"2 BHK Apartment for Sale in Siddhi Vinayak Green, Laskana Surat",2,Carpet Area,710,Resale,Ready to Move,4,5,Unfurnished,NA,,2839.0,0.32
2 BHK Builder Floor for Sale in Amroli Surat,2,Super Area,650,Resale,Ready to Move,2,3,Unfurnished,NA, It's a 2nd floor Builder Floor Apartment in a building of total 3 floors. The Builder Floor Apartment construction is more than 15 to 20 years old. Read more,2000.0,0.13
1 BHK Apartment for Sale in indrajit Apartment near Milk Palace Surat,1,Carpet Area,530,Resale,Ready to Move,1,3,Unfurnished,North - East,best Location Bhatar Road Near LB Cinema All general Store sabji market hospital Temple gurudwara each and everything near 100 meter areaRead more,2714.0,0.19
3 BHK Builder Floor for Sale in Kailash Nagar Surat,3,Super Area,1600,Resale,Ready to Move,4,5,Semi-Furnished,NA,,1562.0,0.25
3 BHK Apartment for Sale in Piplod Surat,3,Super Area,1650,New Property,Ready to Move,2,4,Furnished,South -West,,3091.0,0.51
2 BHK Apartment for Sale in Surat,2,Carpet Area,1150,Resale,Ready to Move,4,4,Unfurnished,NA,,3288.0,0.6
2 BHK Apartment for Sale in Anand Mahal Road Surat,2,Carpet Area,970,Resale,Ready to Move,4,10,Unfurnished,West,"2 BHK with Dastaveg and title clear, EW direction, 1 alloted car parking, Main road Facing, spacious, great lightingRead more",2667.0,0.32
3 BHK Apartment for Sale in Amroli Surat,3,Super Area,1300,Resale,Ready to Move,1,4,Unfurnished,South,,3077.0,0.4
2 BHK Apartment for Sale in Gujrati Surat,2,Carpet Area,600,Resale,Ready to Move,1,5,Semi-Furnished,NA,,3487.0,0.37
2 BHK Apartment for Sale in Sahjanand heights Surat,2,Super Area,865,Resale,Ready to Move,10,12,Semi-Furnished,NA,,4740.0,0.41
3 BHK Builder Floor for Sale in Adajan Surat,3,Super Area,1200,Resale,Ready to Move,2,4,Furnished,NA,,3750.0,0.45
2 BHK Apartment for Sale in Majura Gate Surat,2,Super Area,1100,Resale,Ready to Move,6,11,Semi-Furnished,NA,,4364.0,0.48
2 BHK Apartment for Sale in Parvat Patia Surat,2,Super Area,1275,Resale,Ready to Move,13,13,Furnished,NA,,3608.0,0.46
2 BHK Apartment for Sale in Saroli Surat,2,Super Area,1284,Resale,Ready to Move,2,13,Semi-Furnished,NA,,2336.0,0.3
2 BHK Apartment for Sale in Bhatar Surat,2,Super Area,950,Resale,Ready to Move,1,4,Furnished,NA,,6316.0,0.6
"2 BHK Apartment for Sale in sarjan residency, katargam Surat",2,Super Area,1050,Resale,Ready to Move,2,5,Furnished,NA,,3714.0,0.39
2 BHK Apartment for Sale in Swagat home Surat,2,Super Area,973,Resale,Ready to Move,-1,14,Unfurnished,NA,,3444.0,0.34
2 BHK Builder Floor for Sale in Adajan Surat,2,Super Area,800,Resale,Ready to Move,2,3,Unfurnished,NA,,7500.0,0.6
2 BHK Apartment for Sale in Bhumi complex Surat,2,Super Area,950,Resale,Ready to Move,3,6,Semi-Furnished,North,"2 bhk semi furnished, very good ventilation, overlooking main road,Read more",3158.0,0.3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 BHK Apartment for Sale in NavYug College Surat,2,Carpet Area,1050,Resale,Ready to Move,4,4,Furnished,NA,,3333.0,0.35
1 BHK Builder Floor for Sale in Sachin Surat,1,Super Area,466,Resale,Ready to Move,1,5,Semi-Furnished,NA,,2253.0,0.1
2 BHK Apartment for Sale in Piplod Surat,2,Carpet Area,650,Resale,Ready to Move,3,4,Semi-Furnished,West,"Furnished bedrooms, verified tiles, main road facing, big Balcony, renovated just a year before. ACs installed in both the bedrooms. Wardrobes in both bedroom. Kitchen trolleys installed.Main door grill and window grills installed.Read more",4000.0,0.34
3 BHK Apartment for Sale in Adajan Surat,3,Carpet Area,1200,Resale,Ready to Move,3,5,Semi-Furnished,East,"Wash Area, All window are safe with Grill",3937.0,0.65
"2 BHK Apartment for Sale in Swagat Clifton, Bhimrad Surat",2,Carpet Area,670,Resale,Ready to Move,6,15,Unfurnished,South - East,,4393.0,0.55
2 BHK Apartment for Sale in Vesu Surat,2,Super Area,1260,Resale,Ready to Move,9,9,Furnished,NA,,3968.0,0.5
1 BHK Builder Floor for Sale in Pandesara Surat,1,Super Area,799,Resale,Ready to Move,1,5,Semi-Furnished,NA,,1627.0,0.13
"2 BHK Apartment for Sale in Vacanza Homes, Althan Surat",2,Carpet Area,750,Resale,Ready to Move,9,14,Furnished,North - East,fully furnished,4640.0,0.58
2 BHK Apartment for Sale in Varachha Main Road Surat,2,Super Area,750,Resale,Ready to Move,1,5,Semi-Furnished,NA,,2667.0,0.2
1 BHK Builder Floor for Sale in Kamrej Surat,1,Super Area,710,Resale,Ready to Move,3,6,Unfurnished,NA,,1831.0,0.13
2 BHK Apartment for Sale in Katargam Surat,2,Carpet Area,500,Resale,Ready to Move,3,4,Unfurnished,West,"Multistorey apartment is available for sale. Natural Light and Airy, Corner Building.Read more",2500.0,0.23
"2 BHK Apartment for Sale in Shiv Samarth 1, Pal Gam Surat",2,Super Area,1127,Resale,Ready to Move,16,19,Unfurnished,East,,4259.0,0.48
1 BHK Apartment for Sale in Trikamnagar 1 Surat,1,Super Area,500,Resale,Ready to Move,4,4,Semi-Furnished,NA,,3000.0,0.15
1 BHK Apartment for Sale in Nanpura Surat,1,Super Area,400,Resale,Ready to Move,9,9,Furnished,East,,2500.0,0.1
1 BHK Builder Floor for Sale in Jolva Surat,1,Super Area,555,Resale,Ready to Move,3,4,Unfurnished,North - East,"Introducing a unique opportunity to own a cozy and contemporary 1 BHK builder floor in the peaceful neighborhood of Jolva, Surat. This thoughtfully designed property is ideal for those seeking a compact yet comfortable living space. ::::::Property Specifications::::::Situated on the 3rd floor of a 4-floor building, this 1 BHK builder floor is Vaastu compliant, ensuring harmony and positive energy flow. The property faces the North-East direction, welcoming ample natural light and favorable energy. ::::::With a super area of 555 sqft, this builder floor is unfurnished, allowing you the freedom to customize it according to your preferences. It features one spacious bedroom with an attached balcony that overlooks a charming garden, offering a tranquil retreat. Additionally, there is a common Indian-style bathroom with a geyser point for your convenience. ::::::Further, the living and dining areas are distinct, providing a comfortable layout, while the kitchen is equipped with a granite platform and sink, making meal preparation a breeze. A utility area attached to the kitchen adds to the practicality of the space. The flooring is elegantly done in vitrified tiles, combining style with easy maintenance.::::::Facilities::::::This property offers a range of essential amenities, including covered parking for your convenience, 24-hour water supply, and 100% power backup. Safety and security are a priority with the presence of a security guard and CCTV surveillance. Access to the upper floors is made easy with the availability of two lifts, ensuring a comfortable and worry-free living experience.::::::Locality::::::This property is conveniently located with notable landmarks like Kadodara Chowkdi nearby. It offers easy access to various amenities, including schools and hospitals within a 1-kilometer radius, as well as malls, supermarkets, and banks/ATMs in close proximity. Public transportation is readily available, and the metro station is just 5 kilometers away, ensuring excellent connectivity and accessibility to the wider city.::Read more",1532.0,0.09
1 BHK Builder Floor for Sale in Rander Road Surat,1,Super Area,625,Resale,Ready to Move,3,5,Unfurnished,NA,,2720.0,0.17
2 BHK Apartment for Sale in Adajan Surat,2,Super Area,1275,Resale,Ready to Move,5,6,Furnished,NA,,3137.0,0.4
2 BHK Builder Floor for Sale in Katargam Surat,2,Super Area,730,Resale,2 out of 4,2,4,Unfurnished,East,,1918.0,0.14
2 BHK Apartment for Sale in Parley Point Surat,2,Carpet Area,1060,New Property,Ready to Move,3,9,Furnished,East,,4800.0,0.6
"1 BHK Apartment for Sale in Sai Milan Residency, Palanpur Surat",1,Carpet Area,449,Resale,Ready to Move,3,5,Semi-Furnished,South,,3582.0,0.24
"2 BHK Apartment for Sale in Raghuvir Saffron, Althan Surat",2,Carpet Area,1205,Resale,Ready to Move,1,13,Furnished,North - East,,6500.0,0.52
1 BHK Apartment for Sale in Gopi Pura Surat,1,Carpet Area,551,Resale,Ready to Move,2,5,Semi-Furnished,NA,,2632.0,0.14
"2 BHK Apartment for Sale in Radhe Krishna Residency, Dindoli Surat",2,Carpet Area,1150,Resale,Ready to Move,3,5,Unfurnished,South - East,,2917.0,0.35
"2 BHK Apartment for Sale in GHB Mukhya Mantri Gruh Yojana, Jahangirabad Surat",2,Super Area,484,Resale,Ready to Move,8,13,Semi-Furnished,NA,Multistorey apartment is available for sale. It is a good location property. Please contact for more details.Read more,3719.0,0.18
2 BHK Builder Floor for Sale in Nan Pura Surat,2,Super Area,1050,Resale,Ready to Move,2,6,Semi-Furnished,NA,,2571.0,0.27
"1 BHK Apartment for Sale in Omkar Residency, Palan Pur Patiya Surat",1,Super Area,730,Resale,Ready to Move,5,5,Unfurnished,West,open from three sides and garden side balcony,3151.0,0.23
"1 BHK Apartment for Sale in Satyam Tower, Udhna Surat",1,Carpet Area,34,Resale,Ready to Move,0,7,Unfurnished,NA,ground floor,25000.0,0.09
"3 BHK Apartment for Sale in Pragati Nagar, Piplod Surat",3,Super Area,1355,Resale,Ready to Move,5,7,Unfurnished,South,Good locality,3100.0,0.42
2 BHK Apartment for Sale in Piplod Surat,2,Super Area,900,Resale,Ready to Move,1,7,Semi-Furnished,NA,,3501.0,0.32
1 BHK Builder Floor for Sale in Palan Pur Patiya Surat,1,Super Area,700,Resale,Ready to Move,3,3,Unfurnished,NA,,1071.0,0.07
2 BHK Builder Floor for Sale in Bardoli Surat,2,Super Area,1100,Resale,Ready to Move,3,6,Unfurnished,NA,,1455.0,0.16
2 BHK Apartment for Sale in Katar Gam Surat,2,Carpet Area,960,Resale,Ready to Move,2,4,Furnished,NA,,2604.0,0.25
1 BHK Apartment for Sale in Palan Pur Patiya Surat,1,Super Area,700,Resale,Ready to Move,3,5,Furnished,NA,"Multistorey apartment is available for sale. It covered area of 700 sq-ft, it is a good location property. Please contact for more details.Read more",3501.0,0.24
2 BHK Apartment for Sale in Godadara Surat,2,Carpet Area,1050,Resale,Ready to Move,8,9,Furnished,East,,4234.0,0.29
1 BHK Apartment for Sale in Nanpura Surat,1,Carpet Area,625,New Property,Ready to Move,3,3,Semi-Furnished,East,ALL FRIENDLY NATURE LOCALITIES. HOSPITAL 200m school 1km grocery mall 100m garden 100mRead more,2857.0,0.2
3 BHK Apartment for Sale in Ghod Dod Road Surat,3,Carpet Area,960,Resale,Ready to Move,1,3,Semi-Furnished,NA,,4167.0,0.5
"2 BHK Apartment for Sale in Samruddhi Apartment, Gopi Pura Surat",2,Carpet Area,855,Resale,Ready to Move,3,4,Semi-Furnished,West,Low Rise building,2527.0,0.3
2 BHK Apartment for Sale in Piplod Surat,2,Super Area,1380,Resale,Ready to Move,7,10,Semi-Furnished,NA,"Wonderful view of Lake view Garden, lake and the Gaurav Path",4348.0,0.6
"3 BHK Apartment for Sale in Sat Aria, Pal Surat",3,Carpet Area,1100,Resale,Ready to Move,5,12,Unfurnished,NA,,3593.0,0.6
"2 BHK Apartment for Sale in SHANKHESHWER COMPLAX, Kailash Nagar Surat",2,Super Area,975,Resale,Ready to Move,1,1,Unfurnished,NA,,2554.0,0.25
"1 BHK Apartment for Sale in Majura Gate Surat, Majura Gate Surat",1,Carpet Area,350,Resale,Ready to Move,2,4,Unfurnished,NA,,2667.0,0.1
"1 BHK Apartment for Sale in Karmabhoomi Complex, Adajan Surat",1,Super Area,895,Resale,Ready to Move,4,4,Unfurnished,NA,Best View from the flats and Big Balcony,2180.0,0.2
2 BHK Apartment for Sale in Althan Surat,2,Carpet Area,934,Resale,Ready to Move,7,12,Furnished,East,"NO BROKRAGE  I AM OWNER OF FLATContact me  95 37 10 66 69 Its fully furnish flat Fully syska led lights  With 2 years warranty  Gas grizer with 2 connection on both bathrooms 5 crompton celling fan  With 5 years warranty  Ac Sofa set , 2 classic beds , 2 sliding cabarts Curtains covers on hall , 2 beds rooms Fully electrical wire with high switch borads Wifi connection wire Intercoms connection Many moreI am owner and Contact me95 37 10 66 69Read more",4380.0,0.6
3 BHK Apartment for Sale in Muktanand Nagar Surat,3,Carpet Area,900,New Property,Ready to Move,0,13,Semi-Furnished,East,"Road Touch society        New Buildings only 3 years old Firnt side Flat with Big Gallery, 3 Windows, 3 Badrooms, 2 Bathrooms, 1 master Badroom with attached Toylate and Bathroom, Full ventilation Hawa Ujash walu makan, Two WheelerRead more",2909.0,0.32
2 BHK Apartment for Sale in Pal Surat,2,Super Area,1300,Resale,Ready to Move,3,5,Semi-Furnished,East,,3462.0,0.45
2 BHK Apartment for Sale in Adajan Surat,2,Super Area,1405,Resale,Ready to Move,4,4,Furnished,North - West,,3203.0,0.45
1 BHK Builder Floor for Sale in Sayan Surat,1,Super Area,775,Resale,Ready to Move,1,4,Unfurnished,NA,,1161.0,0.09
1 BHK Apartment for Sale in Bhatar Surat,1,Carpet Area,650,Resale,Ready to Move,3,3,Semi-Furnished,East,,,0.22
"2 BHK Apartment for Sale in Stuti Empress, Palanpur Surat",2,Super Area,1250,Resale,Ready to Move,11,12,Semi-Furnished,East,"Newly colour done , new Morden kitchen trolly installed , good sliding window installed , 3 gardens in building , flat as per vastu, main road touch and Morden amenitiesRead more",3280.0,0.41
2 BHK Apartment for Sale in Ram Pura Surat,2,Super Area,1250,Resale,Ready to Move,3,5,Semi-Furnished,NA,"In the millennial world, the living space is probably the main factor when choosing the ideal family home and this good-looking 2BHK apartment of 1250sqft provides a fantastic outdoorindoor living space. The apartment is available for sale in Ram Pura, Surat. Property SpecificationsThis semi-furnished 2BHK apartment comfortably rests on the 3rd floor in a building with a total of 5-floors. Residents can feel the pleasant ambience all along the day as sufficient natural light and cool breeze seeps into the dwelling. This well-planned apartment is complete with 2 bedrooms 1 wardrobe, 2 bathrooms with western toilets 1 attached  1 common, 1 living cum dining room and 1 kitchen with utility area. Further, vitrified tiles covered on the flooring in the entire flat add more grace to the overall aesthetic appeal.FacilitiesSome of the key facilities such as round-the-clock water supply, 1 lift service and covered parking for 1 bike.LocalityThis property enjoys great connectivity to prime parts of the city and social resources. Commuting to other places is easy as autos, taxis, and buses are easily available from here and the main railway station is within 1km. As the property is located on the main road, it has quick access to public facilities like schools, hospitals, supermarkets, and malls 500m. Leading banks and ATM centres are within close proximity catering to all your financial needs.Read more",2616.0,0.33
1 BHK Builder Floor for Sale in Gopi Pura Surat,1,Super Area,275,Resale,Ready to Move,3,5,Unfurnished,NA,,3636.0,0.1
3 BHK Apartment for Sale in Palanpur Surat,3,Super Area,1200,Resale,Ready to Move,8,8,Furnished,NA,,2917.0,0.35
"2 BHK Apartment for Sale in Anjani Enclave, Dahin Nagar Surat",2,Super Area,1075,Resale,Ready to Move,1,5,Semi-Furnished,NA, It's a 1st floor Multistorey Apartment in a building of total 5 floors. Modern construction is done in this newly built Multistorey Apartment. Read more,2791.0,0.3
"2 BHK Apartment for Sale in Nandini 3, Vesu Surat",2,Super Area,1283,Resale,Ready to Move,1,8,Semi-Furnished,NA,,4287.0,0.55
"1 BHK Apartment for Sale in Nil Gagan Apartment, Athwa Gate Surat",1,Super Area,675,Resale,Ready to Move,2,10,Semi-Furnished,East,"Multistorey apartment is available for sale. It has covered area 675 sq-ft, it is 1 BHK apartment. Please contact for more details.Read more",3259.0,0.22
"2 BHK Apartment for Sale in Vraj Township, Jahangir Pura Surat",2,Carpet Area,880,New Property,Ready to Move,1,5,Semi-Furnished,West,,2564.0,0.3
3 BHK Apartment for Sale in Vesu Surat,3,Super Area,1525,Resale,Ready to Move,4,9,Semi-Furnished,NA," The Flat is on level 4 of a total of 9 and is built up in 1525 Sq-ft. There is space for parking. Around 65 Lac is the value of the Flat. This is a Flat situated in Vesu. With 3 room and 3 bathroom, this Flat is Semi-Furnished. Read more",4262.0,0.65
"2 BHK Apartment for Sale in Santvan Skyon, Palanpur Surat",2,Carpet Area,1173,Resale,Ready to Move,14,14,Unfurnished,East,good quality materials use builder good parson society members,4007.0,0.47
"2 BHK Apartment for Sale in Sankheswar complex, Adajan Patiya Surat",2,Super Area,975,Resale,Ready to Move,7,9,Semi-Furnished,East,,2871.0,0.28
2 BHK Apartment for Sale in Kadodara Surat,2,Carpet Area,650,Resale,Ready to Move,2,5,Unfurnished,NA,,2346.0,0.16
"1 BHK Apartment for Sale in Nova Residency, Jahangir Pura Surat",1,Super Area,740,Resale,Ready to Move,4,5,Semi-Furnished,North, It's a 4th floor Multistorey Apartment in a building of total 5 floors. Read more,2973.0,0.22
2 BHK Apartment for Sale in Umra Surat,2,Carpet Area,900,Resale,Ready to Move,1,4,Semi-Furnished,South,"Multistorey apartment is available for sale. 2 and 4  Wheeler Parking, Well Maintain House, 1 Master Bedroom, Wardrobe, Kitchen Trolley, Grilled outside all windows, Low Maintenance, For Home Video please contact by Whatsapp.Read more",,0.38
"2 BHK Apartment for Sale in Shiv Shrungal Solitaire, VIP Road Surat",2,Super Area,1220,Resale,Ready to Move,13,15,Unfurnished,NA,,4262.0,0.52
1 BHK Builder Floor for Sale in Parvat Patiya Surat,1,Super Area,800,Resale,Ready to Move,2,6,Unfurnished,NA,,2500.0,0.2
2 BHK Apartment for Sale in Vesu Surat,2,Super Area,1250,Resale,Ready to Move,1,4,Furnished,NA,This spacious Multistorey Apartment is located at 1st floor in a tower of total 4 floors. The Multistorey Apartment construction is more than 10 to 15 years old.Read more,3200.0,0.4
3 BHK Apartment for Sale in Bhatar Road Surat,3,Super Area,1651,Resale,Ready to Move,7,7,Furnished,NA,,3695.0,0.61
2 BHK Apartment for Sale in Pasodara Surat,2,Carpet Area,635,Resale,Ready to Move,1,5,Furnished,North - East,,2834.0,0.28
1 BHK Apartment for Sale in Parvat Patiya Surat,1,Super Area,600,Resale,Ready to Move,3,8,Furnished,South - East,,3000.0,0.18
2 BHK Builder Floor for Sale in Varachha Surat,2,Super Area,800,Resale,Ready to Move,3,4,Unfurnished,NA,,1312.0,0.1
"3 BHK Apartment for Sale in Akshar Plaza, Adajan Surat",3,Carpet Area,1500,Resale,Ready to Move,1,11,Unfurnished,NA,"Discover the perfect blend of comfort and harmony with this exquisite 3 BHK flat for sale in Akshar Plaza, Adajan, Surat. Designed to be Vaastu compliant and offering an east-facing orientation, this remarkable residence presents an ideal living space that promotes positive energy and a tranquil ambience.::::::Property Specifications ::::::Spanning across a super area of 1500 square feet, this unfurnished flat is situated on the 1st floor of an 11-floor building. Step inside and be greeted by separate living and dining areas, providing distinct spaces for relaxation and entertaining guests. The flat comprises three well-appointed bedrooms, each offering a cozy and private retreat. ::::::Two of the bedrooms come with attached bathrooms, ensuring convenience and privacy. There is an additional common bathroom, all the bathrooms are designed in a modern western style, ensuring a comfortable and stylish experience for residents and guests, equipped with three geysers to provide hot water throughout the day.::::::The flat features two balconies, one attached to a bedroom and another in the kitchen, allowing you to enjoy serene views of the river. The modular kitchen is thoughtfully designed and comes with a piped gas connection for your culinary needs. The flooring of the flat is tastefully done with vitrified tiles, enhancing the aesthetic appeal and ensuring easy maintenance.::::::Facilities  ::::::Now, let's explore the facilities and amenities that enhance your living experience. Covered parking ensures the safety and security of your vehicle. The flat benefits from the 24-hour water supply, sourced from both borewell and corporation, ensuring uninterrupted water availability. A 100% power backup facility eliminates the inconvenience of power outages. The presence of security guards and CCTV surveillance systems provide a sense of safety and peace of mind. Lifts are available for convenient access to your home.::::::Locality ::::::In terms of locality, the flat is situated near the Swaminarayan Temple, a prominent landmark that adds to the cultural significance of the area. Sardar Bridge, located below, offers convenience for daily shopping needs. Banks and ATMs are in close proximity, ensuring hassle-free financial transactions. Public transportation options such as buses and autos are easily available, facilitating convenient commuting. The railway station is located just 5 km, ensuring easy connectivity to other parts of the city.Read more",,0.52
"2 BHK Apartment for Sale in Nest Buildcon Rhythm Residency and Plaza, Amroli Surat",2,Super Area,1013,Resale,Ready to Move,5,5,Semi-Furnished,East,Freehold Multistorey Apartment faces East direction,2566.0,0.26
2 BHK Apartment for Sale in Adajan Surat,2,Super Area,960,Resale,Ready to Move,4,4,Unfurnished,East,2 BHK Pent House on 4th floor on immediate sale at L P Savany Circle adajanRead more,2708.0,0.26
1 BHK Apartment for Sale in Adajan Surat,1,Carpet Area,450,Resale,Ready to Move,1,5,Unfurnished,NA,,3909.0,0.21
2 BHK Apartment for Sale in Adajan Surat,2,Carpet Area,650,Resale,Ready to Move,4,4,Semi-Furnished,NA,,28242.0,0.17
"2 BHK Apartment for Sale in Maa Gayatri Apartment, Citylight Area Surat",2,Carpet Area,1100,Resale,Ready to Move,2,4,Semi-Furnished,East,,,0.35
"2 BHK Apartment for Sale in Green Valley, Adajan Surat",2,Carpet Area,1150,Resale,Ready to Move,6,7,Unfurnished,NA,,,0.39
2 BHK Apartment for Sale in Bhatar Surat,2,Super Area,1100,Resale,Ready to Move,6,8,Semi-Furnished,NA,"Multistorey apartment is available for sale. It has covered area 1100 sq-ft, it is 2 BHK apartment. Please contact for more details.Read more",4091.0,0.45
2 BHK Apartment for Sale in Adajan Surat,2,Super Area,1250,Resale,Ready to Move,2,4,Furnished,NA,"Fully furnished ready to move in HOUSE . With Ac , washing machineRead more",3600.0,0.45
"2 BHK Apartment for Sale in Samarth Park, Adajan Surat",2,Carpet Area,670,Resale,Ready to Move,10,10,Unfurnished,East,,3667.0,0.33
"2 BHK Apartment for Sale in Swagat Clifton, Bhimrad Surat",2,Super Area,1252,Resale,Ready to Move,11,15,Unfurnished,NA,,3674.0,0.46
"1 BHK Apartment for Sale in Shivam Apartment , Athwa Surat",1,Super Area,600,Resale,Ready to Move,2,4,Unfurnished,South -West,1BHK with good light and air condition,2667.0,0.16
1 BHK Apartment for Sale in Nanpura Surat,1,Carpet Area,400,Resale,Ready to Move,3,6,Unfurnished,NA,,3818.0,0.21
"2 BHK Apartment for Sale in Nest Wood, Althan Surat",2,Carpet Area,796,Resale,Ready to Move,8,11,Furnished,South -West,,4027.0,0.54
2 BHK Apartment for Sale in Jahangirabad Surat,2,Carpet Area,486,Resale,Ready to Move,8,14,Unfurnished,East,2 BHK Semi furnished at very law budget,2533.0,0.19
3 BHK Apartment for Sale in Althan Surat,3,Super Area,1300,Resale,Ready to Move,2,5,Unfurnished,NA,,4615.0,0.6
1 BHK Builder Floor for Sale in Dabholi Surat,1,Super Area,550,Resale,Ready to Move,1,4,Unfurnished,NA,,2000.0,0.11
2 BHK Apartment for Sale in Udhana Darwaja Surat,2,Super Area,900,Resale,Ready to Move,1,3,Semi-Furnished,NA,,2667.0,0.24
2 BHK Apartment for Sale in New citylight Surat,2,Carpet Area,900,Resale,Ready to Move,4,4,Semi-Furnished,NA,,3000.0,0.27
2 BHK Apartment for Sale in Dumbhal Surat,2,Super Area,925,Resale,Ready to Move,3,5,Semi-Furnished,NA,,2486.0,0.23
2 BHK Apartment for Sale in Althan Surat,2,Super Area,1230,New Property,Ready to Move,13,13,Semi-Furnished,South -West,"Multistorey Apartment has unblocked view on front, facing Garden/Park. Situated at 13th floor, this property is South -West facing. The type of ownership is Co-operative Society. Store Room is additionally available. It is a relatively new property with construction age less than 5 yrs. Loans are easily available from banks : SBI for property. Flooring of type Vitrified covers maximum part of the house.Read more",4146.0,0.51
2 BHK Apartment for Sale in Bhatar Surat,2,Super Area,1000,Resale,Ready to Move,3,4,Unfurnished,NA,,3800.0,0.38
"1 BHK Apartment for Sale in Millenium Park, Dindoli Surat",1,Super Area,350,Resale,Ready to Move,4,4,Unfurnished,NA,This one is a 1 bed room flat in Amroli. It is located on 4th level from 4 floors in all and is also well ventilated. The Unit is Unfurnished and also has Ceramic Tiles flooring. The Price for this Unit is 10 Lac. It has 350 Sq-ft of covered area. The society has None elevator for residents in a tower. . The Unit has 1 bathrooms and 1 airy balconies.Read more,2857.0,0.1
2 BHK Apartment for Sale in Ghod Dod Road Surat,2,Super Area,1300,Resale,Ready to Move,2,11,Semi-Furnished,NA,,4615.0,0.6
2 BHK Apartment for Sale in Jahangir Pura Surat,2,Super Area,1187,New Property,Ready to Move,4,5,Semi-Furnished,North - West,"it is a lowrise building,though on main road no traffic disturbances,as it is garden facing.Gaytri yagna perfomed in these two adjoing flats,next flat no.403B is also for sale,so u can buy both flats and can join to make giant Flats of 5 bedroom .with lower price.Read more",2485.0,0.29
2 BHK Builder Floor for Sale in Parvat Patiya Surat,2,Super Area,700,Resale,Ready to Move,2,3,Semi-Furnished,NA,,3143.0,0.22
3 BHK Apartment for Sale in Vesu Surat,3,Super Area,1150,Resale,Ready to Move,2,4,Unfurnished,NA,,5217.0,0.6
2 BHK Apartment for Sale in Nanpura Surat,2,Carpet Area,600,Resale,Ready to Move,5,5,Unfurnished,North,,,0.2
2 BHK Apartment for Sale in Adajan Surat,2,Carpet Area,935,Resale,Ready to Move,0,4,Semi-Furnished,NA,,,0.35
1 BHK Apartment for Sale in Rander Surat,1,Super Area,750,Resale,Ready to Move,7,10,Unfurnished,East,,3000.0,0.23
2 BHK Apartment for Sale in Jahangirabad Surat,2,Super Area,1252,Resale,Ready to Move,3,14,Semi-Furnished,NA,,2955.0,0.37
"2 BHK Apartment for Sale in Madhav Residency, Adajan Surat",2,Carpet Area,1000,Resale,Ready to Move,3,5,Unfurnished,NA,,2796.0,0.35
1 BHK Builder Floor for Sale in Adajan Surat,1,Super Area,812,Resale,Ready to Move,2,4,Furnished,NA,,2217.0,0.18
2 BHK Apartment for Sale in Adajan Surat,2,Super Area,1100,Resale,Ready to Move,3,5,Unfurnished,NA,,3182.0,0.35
"3 BHK Apartment for Sale in Raj Abhishek City Homes, Sachin Surat",3,Carpet Area,1175,Resale,Ready to Move,4,5,Unfurnished,East,"Welcome to the epitome of modern living nestled in the heart of Sachin, Surat – Raj Abhishek City Homes. We are delighted to present a gem of a property: a stunning 3 BHK flat meticulously designed to offer both luxury and comfort. ::::::Property Specifications::::::Step into luxury living with this immaculate 3 BHK flat located in the prestigious Raj Abhishek City Homes, Sachin, Surat. Spanning across a generous carpet area of 1175 sqft on the 4th floor of a meticulously crafted 5-floor building, this residence promises a lifestyle of comfort and convenience. Embracing the principles of Vaastu, this east-facing abode ensures harmony and positive energy flow. Boasting an unfurnished layout, it offers ample space for customization according to your personal style and preferences.::::::The interior layout features three spacious bedrooms, ideal for accommodating your family's needs. Each bedroom is complemented by attached bathrooms featuring modern Western fixtures. Enjoy the serene outdoors from two private balconies, one attached to the living room and the other to a bedroom, both overlooking the lush greenery of the garden.::::::The heart of this home lies in its expansive living cum dining area, perfect for hosting gatherings and creating lasting memories with loved ones. The kitchen is designed for functionality, featuring a standard layout with platform and sink, along with a piped gas connection for hassle-free cooking. A utility area attached to the kitchen adds to the practicality of daily chores. Experience the epitome of elegance with vitrified flooring that exudes sophistication while offering easy maintenance.::::::Facilities::::::This property boasts covered parking, ensuring your vehicle is sheltered from the elements. With a reliable water supply from a borewell and the convenience of corporation water, your daily needs are effortlessly met. Security is paramount with CCTV surveillance installed throughout the premises. Additionally, accessibility is enhanced with a lift servicing the building. Enjoy leisurely moments with amenities such as a clubhouse, kids' play area, and a tranquil garden, creating a wholesome living experience for you and your family.::::::Locality::::::This property's location is distinguished by its proximity to the Palsana, Navsari connecting highway, making commuting convenient and hassle-free. Within a 3-kilometer radius, you'll find essential amenities such as schools and hospitals, ensuring accessibility to education and healthcare. Shopping for daily necessities is effortless with malls and supermarkets also within the same radius. Banking services are readily available with banks and ATMs nearby. Public transport is easily accessible, facilitating seamless travel around the area. Moreover, the Sachin Railway Station is conveniently located just 2 kilometers away, enhancing connectivity for those traveling by train.Read more",,
