property_name,areaWithType,square_feet,transaction,status,floor,furnishing,facing,description,price_per_sqft,price
"2 BHK Apartment for Sale in Avadh Onica, Dumas Road Surat",Super Area,1400 sqft,Resale,Poss. by Oct '25,2 out of 13,Unfurnished,East,,"₹4,500 per sqft ",₹63 Lac 
"3 BHK Apartment for Sale in AG Sentosa Enclave, Godadara Surat",Carpet Area,1100 sqft,Resale,Ready to Move,2 out of 5,Unfurnished,West,"Home buyers an appealingly designed 3 BHK flat is available for sale in AG Sentosa Enclave, Godadara, Surat. This is a pretty new property with the age of construction less than 5 years and is close to key infrastructures. Hence, considering this abode to settle down with your loved ones is a wise choice.Property SpecificationsWest facing, this 3 BHK flat is positioned on the 2nd floor of a 5-storey building and is well-configured to receive adequate natural light and ventilation. Covering a carpet area of 1100 sqft, this flat is remarkably designed to offer comfortable living space.Presented unfurnished, this flat encompasses 3 comfy bedrooms, 3 bathrooms  1 Indian, 2 Western with geysers, a separate living  dining area, and a kitchen with an attached utility area. That is not all, there is a balcony linked to the hall and one can get a view of the main road.Furthermore, two of the bathrooms are ensuite with bedrooms for extra comfort while the 3rd bathroom is for common use. The flooring throughout the flat is adorned with elegant marble, adding a touch of sophistication to the ambiance. Whether youre looking for a comfortable family home or a wise investment opportunity, this property has it all.FacilitiesThis property provides convenient amenities including covered parking, 247 water supply, 100 power backup, security guards, CCTV surveillance, and a lift. Plus, a garden, sports room, and a party hall auditorium for leisure and entertainment are also available.LocalityThis property boasts a strategic location near several key landmarks. Shantikunj garden and Dindoli railway crossing are just a stones throw away, adding to the scenic beauty and convenience of the area. Social amenities such as schools, hospitals, malls, and supermarkets are walking distance away, and banking needs are met with close-by banks and ATMs.Public transport is easily accessible, enhancing your convenience. Also, Dindoli Railway Station is 2 to 4 km away and Godadara Railway Station is at a stretch of 4 km. This location offers the perfect blend of comfort and accessibility for a vibrant and well-connected lifestyle.Read more","₹2,977 per sqft ",₹38.1 Lac 
2 BHK Apartment for Sale in Althan Surat,Super Area,1000 sqft,Resale,Ready to Move,3 out of 4,Semi-Furnished,2,,"₹3,500 per sqft ",₹35 Lac 
"2 BHK Apartment for Sale in Adajan, Surat Surat",Super Area,1035 sqft,Resale,Ready to Move,5 out of 6,Semi-Furnished,2,,"₹2,802 per sqft ",₹29 Lac 
2 BHK Apartment for Sale in Palanpur Gam Surat,Super Area,1218 sqft,Resale,Ready to Move,5 out of 5,Semi-Furnished,East,This Multistorey Apartment is located at 5th floor in a building of total 5 floors.Read more,"₹2,956 per sqft ",₹36 Lac 
2 BHK Builder Floor for Sale in Near Arya Club Tena Village Surat,Carpet Area,500 sqft,New Property,Ready to Move,5 out of 5,Unfurnished,North,"just 18 km from adajan and 5 km from mora tekra, best for second weekend home , investment, rent income..   Loan facility, Rent income ,property managment available. only Rs.51000 token and rest via loan with free stemp duty and 6 month EMI and bank chargesRead more","₹2,373 per sqft ",₹18.5 Lac 
2 BHK Apartment for Sale in Parimal park Surat,Super Area,910 sqft,Resale,Ready to Move,4 out of 4,Unfurnished,2,,"₹2,473 per sqft ",₹22.5 Lac 
3 BHK Apartment for Sale in Jahangirabad Surat,Carpet Area,950 sqft,Resale,Ready to Move,10 out of 13,Furnished,East,top property price,"₹2,069 per sqft ",₹30 Lac 
2 BHK Apartment for Sale in Katargam Surat,Super Area,960 sqft,Resale,Ready to Move,4 out of 5,Furnished,2,,"₹3,385 per sqft ",₹32.5 Lac 
1 BHK Builder Floor for Sale in LP Savani Surat,Super Area,570 sqft,Resale,Ready to Move,4 out of 5,Semi-Furnished,1,,"₹3,509 per sqft ",₹20 Lac 
"1 BHK Apartment for Sale in akshardham appt , naryan nagar , Katargam Surat",Super Area,500 sqft,Resale,Ready to Move,2 out of 4,Unfurnished,1,,"₹3,400 per sqft ",₹17 Lac 
"1 BHK Apartment for Sale in Adeshwar Park Apartment , Athawa Lines Surat",Carpet Area,615 sqft,Resale,Ready to Move,3 out of 10,Furnished,Main Road,,,₹20 Lac 
2 BHK Builder Floor for Sale in Udhna Amrut Nagar Society Surat,Super Area,900 sqft,Resale,Ready to Move,4 out of 5,Semi-Furnished,2,,"₹2,556 per sqft ",₹23 Lac 
"2 BHK Apartment for Sale in Raghuvir Saffron, Althan Surat",Carpet Area,1205 sqft,Resale,Ready to Move,13 out of 13,Furnished,Raghuvir Saffron,,,₹65 Lac 
2 BHK Apartment for Sale in Palanpur Gam Surat,Carpet Area,750 sqft,New Property,Ready to Move,9 out of 14,Unfurnished,2,,"₹3,800 per sqft ",₹47.5 Lac 
2 BHK Apartment for Sale in Sukruti Apartment  Muktanand Nagar Surat,Super Area,1000 sqft,Resale,Ready to Move,3 out of 4,Furnished,2,,"₹4,000 per sqft ",₹40 Lac 
"3 BHK Apartment for Sale in Green City, Bhatha Surat",Carpet Area,1150 sqft,Resale,Ready to Move,1 out of 13,Unfurnished,Green City,,"₹3,175 per sqft ",₹50 Lac 
3 BHK Apartment for Sale in Kailash Nagar Surat,Super Area,1200 sqft,Resale,Ready to Move,3 out of 4,Semi-Furnished,2,,"₹2,917 per sqft ",₹35 Lac 
2 BHK Apartment for Sale in Hazira Road Surat,Super Area,960 sqft,Resale,Ready to Move,4 out of 6,Semi-Furnished,1 Covered, It's a 4th floor Multistorey Apartment in a building of total 6 floors. The age of construction for this Multistorey Apartment is between 5 to 10 years. Read more,"₹2,344 per sqft ",₹22.5 Lac 
2 BHK Apartment for Sale in Adajan Surat,Super Area,950 sqft,Semi-Furnished,5 out of 5,Resale,East,2,"east facing,semi furnished and located near local market.","₹3,158 per sqft ",₹30 Lac 
3 BHK Apartment for Sale in Adajan Surat,Super Area,1141 sqft,Resale,Ready to Move,2 out of 3,Unfurnished,East,very prime location with all facilities surrounding,"₹3,418 per sqft ",₹39 Lac 
2 BHK Apartment for Sale in Ghod Dod Road Surat,Super Area,1275 sqft,Resale,Ready to Move,7 out of 11,Furnished,2 Covered,  Multistorey Apartment is located at the advantageous 7th floor in a tower of total 11 floors. The Multistorey Apartment construction is more than 5 to 10 years old. Read more,"₹4,549 per sqft ",₹58 Lac 
1 BHK Builder Floor for Sale in Adajan Surat,Super Area,650 sqft,Resale,Ready to Move,2 out of 4,Unfurnished,1, This Builder Floor Apartment is located at 2nd floor in a building of total 4 floors. Read more,"₹3,231 per sqft ",₹21 Lac 
 Studio Apartment for Sale in Dindoli Surat,Super Area,250 sqft,Resale,Ready to Move,2 out of 5,Semi-Furnished,1,,"₹4,000 per sqft ",₹10 Lac 
1 BHK Apartment for Sale in Athwalines Surat,Super Area,700 sqft,Resale,Ready to Move,3 out of 10,Unfurnished,1," This spacious Flat is on floor 3 of total 10 and is built up in 700 Sq-ft. Offering 1 bedroom and 1 spacious bathrooms, this Flat is Unfurnished. 25 Lac is the cost of Flat. Read more","₹3,571 per sqft ",₹25 Lac 
3 BHK Apartment for Sale in Nanpura Surat,Super Area,1200 sqft,Resale,Ready to Move,4 out of 8,Unfurnished,3,,"₹5,000 per sqft ",₹60 Lac 
1 BHK Apartment for Sale in Punagam Surat,Carpet Area,400 sqft,Resale,Ready to Move,Ground out of 4,Semi-Furnished,Main Road,,"₹2,750 per sqft ",₹11 Lac 
3 BHK Builder Floor for Sale in Dindoli Surat,Super Area,1700 sqft,Resale,Ready to Move,2 out of 3,Semi-Furnished,East,,"₹3,265 per sqft ",₹55.5 Lac 
2 BHK Apartment for Sale in shree bharti residency Surat,Carpet Area,800 sqft,Resale,Ready to Move,8 out of 12,Furnished,2,,"₹3,911 per sqft ",₹42 Lac 
2 BHK Apartment for Sale in Jay Mahakali Krupa Apartment Surat,Carpet Area,700 sqft,Resale,Ready to Move,4 out of 5,Unfurnished,East,5 th floor buildind total 10 flat,"₹3,684 per sqft ",₹35 Lac 
"2 BHK Penthouse for Sale in Gruham Luxuria, Masma Village Surat",Carpet Area,12 sqft,Resale,Ready to Move,Ground out of 2,Furnished,South,all facelift available in soc example by gym theatre library swimming pool Banquet Hall club houseRead more,"₹76,389 per sqft ",₹27.5 Lac 
2 BHK Apartment for Sale in Nilkanth Park society Surat,Super Area,1083 sqft,Furnished,5 out of 5,Resale,2,,,"₹3,509 per sqft ",₹38 Lac 
"2 BHK Apartment for Sale in Vinayak Enclave, Dindoli Surat",Carpet Area,897 sqft,Furnished,Ready to Move,2 out of 5,Vinayak Enclave,2,,,₹23 Lac 
1 BHK Apartment for Sale in Kadodar Surat,Carpet Area,680 sqft,Resale,Ready to Move,2 out of 3,Unfurnished,East,"East Facing, Water","₹2,400 per sqft ",₹18 Lac 
"1 BHK Apartment for Sale in Panchtatva Residency, Mota Varachha Surat",Carpet Area,785 sqft,Resale,Ready to Move,Lower Basement out of 5,Furnished,Panchtatva Residency,"Multistorey apartment is available for sale. It has carpet area 785 sq-ft, it is 1 BHK apartment. Please contact for more details.Read more",,₹25 Lac 
2 BHK Apartment for Sale in SK Apt Patel Colony Surat,Super Area,1200 sqft,Resale,Ready to Move,2 out of 3,Semi-Furnished,2,Multistorey apartment is available for sale. It is a good location property. Please contact for more details.Read more,"₹2,500 per sqft ",₹30 Lac 
"3 BHK Apartment for Sale in Mangalam Park, Piplod Surat",Super Area,1420 sqft,Semi-Furnished,1 out of 7,Resale,North,Main Road,"3 BHK flat is available for sale. Facing Road, surrounded by by all amenities. Peaceful surrounding.Read more","₹3,169 per sqft ",₹45 Lac 
"1 BHK Apartment for Sale in Manvay Residency, Chalthan Surat",Carpet Area,311 sqft,Resale,Ready to Move,4 out of 5,Unfurnished,Manvay Residency,,"₹3,111 per sqft ",₹14 Lac 
"1 BHK Apartment for Sale in Shiv Drashti Residency, Sachin Surat",Carpet Area,302 sqft,Resale,Ready to Move,5 out of 5,Unfurnished,Shiv Drashti Residency,,,₹13 Lac 
2 BHK Apartment for Sale in real kedar bhavan Surat,Carpet Area,800 sqft,Resale,Ready to Move,8 out of 8,Furnished,Freehold,,"₹2,719 per sqft ",₹32 Lac 
2 BHK Builder Floor for Sale in Karod Surat,Super Area,800 sqft,Resale,Ready to Move,2 out of 5,Semi-Furnished,2,,"₹1,250 per sqft ",₹10 Lac 
2 BHK Apartment for Sale in Adajan Surat,Super Area,1200 sqft,Furnished,3 out of 10,Resale,Freehold,2,"2 BHK multistorey apartment is available for sale with kitchen, dining table, double bed, wardrobe, computer table etc. 24 Hours electricity with power generator, security and well maintained building. Please contact for more details.Read more","₹3,333 per sqft ",₹40 Lac 
1 BHK Apartment for Sale in Ghod Dod Rd Surat,Super Area,600 sqft,Resale,Ready to Move,2 out of 10,Semi-Furnished,1," This Unit is on 2nd level of the tower of 10 and has a covered area of 600 Sq-ft. Approx 30 Lac is the cost of the Unit. Offering 1 bedroom and 1 well maintained bathrooms, the Unit is Semi-Furnished. Read more","₹5,000 per sqft ",₹30 Lac 
"3 BHK Apartment for Sale in S H Saundarya Heights, Punagam Surat",Carpet Area,900 sqft,Resale,Ready to Move,1 out of 12,Unfurnished,East,"A newly constructed 3BHK Deluxe flat, area 1465 sq. ft. located at yogi chowk,varacha is all set to sale. It has marble flooring, CCTV installed and parking slot. Close to the market.Selling price 58 Lakh only. Interested person may contactRead more","₹3,959 per sqft ",₹58 Lac 
"2 BHK Apartment for Sale in Palsana, Surat Surat",Super Area,1100 sqft,Resale,Ready to Move,2 out of 5,Furnished,2,,"₹3,364 per sqft ",₹37 Lac 
"1 BHK Apartment for Sale in Aastha Bhakti Heights, Amroli Surat",Carpet Area,550 sqft,Resale,Ready to Move,8 out of 12,Unfurnished,East,,"₹2,733 per sqft ",₹20.5 Lac 
2 BHK Apartment for Sale in Mota Varachha Surat,Super Area,1312 sqft,Resale,Ready to Move,2 out of 5,Unfurnished,North,2 BHK Flat located near Mita varachha Talav,"₹3,800 per sqft ",₹49.9 Lac 
"2 BHK Apartment for Sale in JT Stuti Highland, Palanpur Surat",Super Area,1176 sqft,Resale,Ready to Move,8 out of 13,Unfurnished,JT Stuti Highland,,"₹3,571 per sqft ",₹42 Lac 
2 BHK Apartment for Sale in Bhatpore Surat,Super Area,1175 sqft,Resale,Ready to Move,4 out of 13,Semi-Furnished,2,,"₹2,979 per sqft ",₹35 Lac 
"2 BHK Apartment for Sale in Shyam enclave, Jahangirabad Surat",Super Area,1252 sqft,Resale,Ready to Move,9 out of 13,Semi-Furnished,Shyam enclave,,"₹3,195 per sqft ",₹40 Lac 
2 BHK Apartment for Sale in Jahangir Pura Surat,Super Area,1250 sqft,Resale,Ready to Move,4 out of 5,Unfurnished,2,,"₹3,360 per sqft ",₹42 Lac 
1 BHK Apartment for Sale in Katar Gam Surat,Super Area,400 sqft,Resale,Ready to Move,1 out of 4,Unfurnished,1,  Multistorey Apartment is located at the advantageous 1st floor in a tower of total 4 floors. Read more,"₹2,750 per sqft ",₹11 Lac 
2 BHK Apartment for Sale in Devadh Surat,Super Area,1065 sqft,Resale,Ready to Move,3 out of 5,Semi-Furnished,North,"fully vastu, South West flat","₹2,347 per sqft ",₹25 Lac 
2 BHK Apartment for Sale in Sahyog Apartment Surat,Carpet Area,935 sqft,Resale,Ready to Move,2 out of 4,Semi-Furnished,1,,,₹28.5 Lac 
2 BHK Apartment for Sale in Jahangir Pura Surat,Super Area,1288 sqft,Resale,Ready to Move,10 out of 13,Furnished,2,,"₹3,106 per sqft ",₹40 Lac 
1 BHK Apartment for Sale in Gopi Pura Surat,Super Area,600 sqft,Resale,Ready to Move,8 out of 8,Furnished,1, It's a 8th floor Multistorey Apartment in a building of total 8 floors. The age of construction for this Multistorey Apartment is between 10 to 15 years. Read more,"₹2,333 per sqft ",₹14 Lac 
"2 BHK Apartment for Sale in Palanpur ,Canal road Surat",Carpet Area,1246 sqft,Semi-Furnished,Ready to Move,4 out of 12,2,,,,₹50 Lac 
"2 BHK Apartment for Sale in Sai Upavan, Palanpur Gam Surat",Carpet Area,700 sqft,Resale,Ready to Move,11 out of 14,Semi-Furnished,East,"Semi Furnished Ready to move in Apartment with AC in master bedroom, Gas geyser, RO water purifier, Kitchen trolley, Safety door, Storage cabinets in kitchen, Gas pipeline.Read more","₹4,437 per sqft ",₹56 Lac 
1 BHK Apartment for Sale in Bhagal Surat,Carpet Area,90 sqft,Resale,Ready to Move,1 out of 1,Unfurnished,East,"1 RK , 1st floor","₹16,667 per sqft ",₹15 Lac 
"2 BHK Apartment for Sale in Apt Swaminagar Society, Bhatar Surat",Super Area,591 sqft,Resale,Ready to Move,3 out of 3,Semi-Furnished,Apt Swaminagar Society,"Piped gaseline, furnished kitchen, giving both double beds and almirahsRead more","₹3,384 per sqft ",₹20 Lac 
"2 BHK Apartment for Sale in Jolly Residency, Vesu Surat",Super Area,1320 sqft,Jolly Residency,Ready to Move,Resale,,,,"₹4,621 per sqft ",₹61 Lac 
2 BHK Apartment for Sale in Palanpur Gam Surat,Carpet Area,980 sqft,Resale,Ready to Move,1 out of 12,Furnished,East,"prime location, near by hospitals + Mall + Cinema + Vegitable mkt , 9km from station, 10km from airport,Read more","₹3,281 per sqft ",₹42 Lac 
1 BHK Apartment for Sale in Nan Pura Surat,Super Area,650 sqft,Resale,Ready to Move,1 out of 5,Furnished,2 Open,,"₹2,769 per sqft ",₹18 Lac 
2 BHK Apartment for Sale in Adajan Surat,Carpet Area,525 sqft,Resale,Ready to Move,3 out of 4,Furnished,2,,"₹4,800 per sqft ",₹30 Lac 
1 BHK Apartment for Sale in krishna Park Appartment Surat,Carpet Area,550 sqft,Resale,Ready to Move,4 out of 4,Semi-Furnished,1,,"₹3,571 per sqft ",₹25 Lac 
"1 BHK Apartment for Sale in Jivandeep Swastik Pride, Surat City Surat",Carpet Area,575 sqft,Resale,Ready to Move,3 out of 10,Semi-Furnished,East,,"₹2,667 per sqft ",₹20 Lac 
2 BHK Apartment for Sale in Ankur heights Surat,Super Area,1207 sqft,,Ready to Move,Resale,,,,"₹3,314 per sqft ",₹40 Lac 
2 BHK Builder Floor for Sale in Hari Pura Surat,Super Area,1000 sqft,Resale,Ready to Move,3 out of 6,Unfurnished,2,,"₹1,800 per sqft ",₹18 Lac 
1 BHK Apartment for Sale in Dholakiya garden Surat,Carpet Area,650 sqft,Resale,Ready to Move,2 out of 4,Unfurnished,North,,"₹2,769 per sqft ",₹18 Lac 
"2 BHK Apartment for Sale in Amber Palace, Nan Pura Surat",Super Area,1250 sqft,Resale,Ready to Move,3 out of 5,Unfurnished,Garden/Park,garden view,"₹2,480 per sqft ",₹31 Lac 
"1 BHK Apartment for Sale in Akash Weekend Address, Dumas Road Surat",Carpet Area,580 sqft,Resale,Ready to Move,9 out of 11,Unfurnished,South -West,,"₹4,569 per sqft ",₹26.5 Lac 
2 BHK Apartment for Sale in Adajan Surat,Carpet Area,900 sqft,Resale,Ready to Move,Ground out of 3,Semi-Furnished,1,,"₹3,535 per sqft ",₹35 Lac 
"2 BHK Apartment for Sale in Times Galaxy, Dahin Nagar Surat",Super Area,1155 sqft,Resale,Ready to Move,9 out of 13,Semi-Furnished,Times Galaxy,,"₹3,896 per sqft ",₹45 Lac 
3 BHK Apartment for Sale in Pal Surat,Super Area,1575 sqft,Resale,Ready to Move,10 out of 12,Unfurnished,North - East,"semi furnished,Gaurav path road touch","₹3,492 per sqft ",₹55 Lac 
"2 BHK Builder Floor for Sale in Vitthal Bunglows, Bardoli Surat",Super Area,1300 sqft,Resale,Ready to Move,3 out of 6,Unfurnished,Vitthal Bunglows,,"₹1,615 per sqft ",₹21 Lac 
2 BHK Builder Floor for Sale in Kadodara Surat,Super Area,600 sqft,Resale,Ready to Move,5 out of 6,Unfurnished,2,,"₹3,833 per sqft ",₹23 Lac 
2 BHK Apartment for Sale in Surat,Carpet Area,1085 sqft,Resale,Ready to Move,Lower Basement out of 59,Unfurnished,2,,,₹29 Lac 
"2 BHK Apartment for Sale in Meera Avenue, Khadsad Surat",Super Area,1251 sqft,Resale,Ready to Move,4 out of 11,Semi-Furnished,Meera Avenue,,"₹4,396 per sqft ",₹55 Lac 
1 BHK Builder Floor for Sale in Sachin Surat,Super Area,550 sqft,Resale,Ready to Move,3 out of 4,Unfurnished,1,,"₹1,682 per sqft ",₹9.3 Lac 
1 BHK Builder Floor for Sale in Adajan Surat,Super Area,650 sqft,Resale,Ready to Move,4 out of 5,Semi-Furnished,1,,"₹2,308 per sqft ",₹15 Lac 
"2 BHK Apartment for Sale in Lake Castle, Pal Gam Surat",Carpet Area,1230 sqft,Resale,Ready to Move,8 out of 12,Semi-Furnished,Lake Castle,,"₹4,228 per sqft ",₹52 Lac 
"2 BHK Apartment for Sale in Pan Sharanam, Jahangir Pura Surat",Carpet Area,824 sqft,Resale,Ready to Move,4 out of 5,Semi-Furnished,Pan Sharanam,,"₹2,547 per sqft ",₹30 Lac 
1 BHK Builder Floor for Sale in Kadodar Surat,Super Area,494 sqft,Resale,Ready to Move,3 out of 5,Unfurnished,1,,"₹1,923 per sqft ",₹9.5 Lac 
1 BHK Apartment for Sale in Angan Appartment Surat,Carpet Area,695 sqft,Resale,Ready to Move,3 out of 4,Furnished,South - East,Multistorey apartment is available for sale. It is a good location property. Please contact for more details.Read more,"₹3,022 per sqft ",₹21 Lac 
"2 BHK Apartment for Sale in Mahavir Residency, Rander Road Surat",Carpet Area,1326 sqft,Resale,Ready to Move,3 out of 9,Semi-Furnished,East,"bus stand , railway station and main market near to the property","₹3,333 per sqft ",₹50 Lac 
2 BHK Apartment for Sale in Adajan Surat,Super Area,1040 sqft,Resale,Ready to Move,4 out of 5,Unfurnished,2,,"₹2,404 per sqft ",₹25 Lac 
"2 BHK Apartment for Sale in 3K Prime Shyam Enclave, Jahangir Pura Surat",Carpet Area,958 sqft,Resale,Ready to Move,6 out of 14,Furnished,"Garden/Park, Main Road",Garden Facing,"₹3,736 per sqft ",₹47 Lac 
1 BHK Apartment for Sale in Amroli Surat,Super Area,400 sqft,Resale,Ready to Move,4 out of 5,Unfurnished,1,,"₹4,125 per sqft ",₹16.5 Lac 
2 BHK Apartment for Sale in Sagrampura Surat,Super Area,762 sqft,Resale,Ready to Move,1 out of 9,Unfurnished,2,,"₹2,428 per sqft ",₹18.5 Lac 
2 BHK Apartment for Sale in Dahin Nagar Surat,Super Area,1075 sqft,Resale,Ready to Move,1 out of 6,Semi-Furnished,2,,"₹2,791 per sqft ",₹30 Lac 
2 BHK Builder Floor for Sale in Dindoli Surat,Super Area,800 sqft,Resale,Ready to Move,3 out of 5,Semi-Furnished,1,,"₹2,300 per sqft ",₹18.4 Lac 
2 BHK Apartment for Sale in Adajan Surat,Carpet Area,690 sqft,Resale,Ready to Move,5 out of 10,Furnished,East,good place to live in surat..best place for Jains because  jain dearsar and upashray is nereby.very well developed roads.. easy transport service available..safety is good for children and old age peopleRead more,,₹34 Lac 
1 BHK Builder Floor for Sale in Bardoli Surat,Super Area,650 sqft,Resale,Ready to Move,2 out of 5,Unfurnished,1,,"₹1,923 per sqft ",₹12.5 Lac 
1 BHK Apartment for Sale in Vadod Gam Surat,Super Area,671 sqft,Resale,Ready to Move,2 out of 5,Semi-Furnished,East,,"₹2,683 per sqft ",₹18 Lac 
2 BHK Apartment for Sale in Amroli Surat,Carpet Area,900 sqft,Resale,Ready to Move,5 out of 5,Semi-Furnished,East,"Well vantilated, terrace flat on top floor.","₹2,637 per sqft ",₹27 Lac 
1 BHK Builder Floor for Sale in Amroli Surat,Super Area,565 sqft,Resale,Ready to Move,4 out of 5,Semi-Furnished,1,,"₹2,124 per sqft ",₹12 Lac 
2 BHK Builder Floor for Sale in Adajan Surat,Super Area,1050 sqft,Resale,Ready to Move,2 out of 5,Furnished,2,,"₹3,333 per sqft ",₹35 Lac 
1 BHK Builder Floor for Sale in Katargam Surat,Super Area,700 sqft,Resale,Ready to Move,Ground out of 5,Semi-Furnished,1,,"₹2,143 per sqft ",₹15 Lac 
"2 BHK Apartment for Sale in Shivalik, Dabholi Surat",Super Area,1020 sqft,Resale,Ready to Move,2 out of 4,Unfurnished,East,,"₹3,285 per sqft ",₹33.5 Lac 
2 BHK Apartment for Sale in Varachha Surat,Super Area,990 sqft,Resale,Ready to Move,1 out of 6,Unfurnished,North,"only for patel, contact for buy","₹3,838 per sqft ",₹38 Lac 
"2 BHK Apartment for Sale in swagat rudra enclave, Althan Surat",Super Area,1340 sqft,Resale,Ready to Move,9 out of 13,Semi-Furnished,2,,"₹4,104 per sqft ",₹55 Lac 
1 BHK Apartment for Sale in Bhestan Surat,Super Area,450 sqft,Resale,Ready to Move,4 out of 5,Unfurnished,2,,"₹3,333 per sqft ",₹15 Lac 
1 BHK Apartment for Sale in ganesh residency Surat,Carpet Area,431 sqft,Resale,Ready to Move,1 out of 13,Semi-Furnished,1,,,₹20 Lac 
2 BHK Apartment for Sale in Radhakishan Flats Surat,Carpet Area,650 sqft,Resale,Ready to Move,4 out of 8,Unfurnished,North,Located at Very Prime area All facilities nearby available.Good peopleRead more,"₹2,624 per sqft ",₹26.5 Lac 
2 BHK Apartment for Sale in Sima Nagar Surat,Super Area,700 sqft,Resale,Ready to Move,Ground out of 1,Unfurnished,2,,"₹2,714 per sqft ",₹19 Lac 
2 BHK Apartment for Sale in Pal Surat,Super Area,1208 sqft,Resale,Ready to Move,11 out of 20,Furnished,2,,"₹4,222 per sqft ",₹51 Lac 
2 BHK Apartment for Sale in Parvat Patiya Surat,Super Area,1250 sqft,Resale,Ready to Move,6 out of 7,Semi-Furnished,2,,"₹4,800 per sqft ",₹60 Lac 
2 BHK Apartment for Sale in Athwa Surat,Super Area,1400 sqft,Resale,Ready to Move,10 out of 14,2,,,"₹3,571 per sqft ",₹50 Lac 
1 BHK Apartment for Sale in 214 Surat,Carpet Area,36 sqm,Resale,Ready to Move,2 out of 13,Unfurnished,North - East,,"₹3,889 per sqft ",₹18 Lac 
1 BHK Builder Floor for Sale in Kosamba Surat,Carpet Area,450 sqft,Resale,Ready to Move,2 out of 4,Unfurnished,Main Road,,"₹1,061 per sqft ",₹7 Lac 
"1 BHK Apartment for Sale in Abhava , devnandan residency, b-402 Surat",Super Area,840 sqft,Resale,Ready to Move,4 out of 4,Semi-Furnished,1,,"₹2,381 per sqft ",₹20 Lac 
2 BHK Apartment for Sale in Ambica Niketan Surat,Carpet Area,900 sqft,New Property,Ready to Move,10 out of 10,Unfurnished,North,Shubham apt -1  Behind Sargam shopping centre  Parle point  10th floor  1003  New construction  old FSI   1100 sq fitRead more,"₹5,455 per sqft ",₹60 Lac 
"2 BHK Apartment for Sale in Royal Nest, Adajan Surat",Carpet Area,55 sqft,Resale,Ready to Move,3 out of 4,Unfurnished,Royal Nest,,"₹10,101 per sqft ",₹8.9 Lac 
2 BHK Builder Floor for Sale in Vyara Surat,Super Area,918 sqft,Resale,Ready to Move,2 out of 5,Unfurnished,2,,"₹2,288 per sqft ",₹21 Lac 
"2 BHK Apartment for Sale in Prayosha Home, Dindoli Surat",Carpet Area,1011 sqft,Resale,Ready to Move,2 out of 7,Unfurnished,East,spacious with full facility,,₹36 Lac 
1 BHK Builder Floor for Sale in Punagam Surat,Super Area,400 sqft,Resale,Ready to Move,3 out of 5,Furnished,1,,"₹3,250 per sqft ",₹13 Lac 
1 BHK Builder Floor for Sale in Kamrej Surat,Carpet Area,590 sqft,Resale,Ready to Move,3 out of 3,Unfurnished,1, It's a 3rd floor Builder Floor Apartment in a building of total 3 floors. The Builder Floor Apartment construction is more than 5 to 10 years old. Read more,"₹2,333 per sqft ",₹17.5 Lac 
2 BHK Apartment for Sale in prashwanath sankul Surat,Super Area,1050 sqft,Resale,Ready to Move,5 out of 6,Furnished,2,,"₹3,333 per sqft ",₹35 Lac 
"2 BHK Apartment for Sale in Western Height, Adajan Surat",Carpet Area,1280 sqft,Resale,Ready to Move,11 out of 13,Unfurnished,West,Multistorey apartment is available for sale. It is a good location property. Please contact for more details.Read more,,₹56 Lac 
"2 BHK Apartment for Sale in pragati nagar, Piplod Surat",Super Area,1040 sqft,Resale,Ready to Move,1 out of 7,Semi-Furnished,2,,"₹3,846 per sqft ",₹40 Lac 
"2 BHK Apartment for Sale in Vaishnodevi Residency, Dahin Nagar Surat",Carpet Area,1058 sqft,Resale,Ready to Move,1 out of 7,Furnished,South,,"₹3,214 per sqft ",₹34 Lac 
1 BHK Builder Floor for Sale in Umra Surat,Super Area,460 sqft,Resale,Ready to Move,1 out of 4,Unfurnished,East,This Builder Floor Apartment is located at 1st floor in a building of total 4 floors. Modern construction is done in this newly built Builder Floor Apartment.Read more,"₹3,087 per sqft ",₹14.2 Lac 
2 BHK Apartment for Sale in Jahangir Pura Surat,Super Area,1175 sqft,Resale,Ready to Move,3 out of 5,Unfurnished,East,"2BHK flat for sale at Rajhans Residency, Jahagirpura, 1175 sq feet. Campus facing , Wind direction,  Vastu complied. Visit available only on Sunday with prior Intimation.Expected price 34L negotiable.Read more","₹3,234 per sqft ",₹38 Lac 
2 BHK Apartment for Sale in Umra Surat,Carpet Area,625 sqft,Resale,Ready to Move,3 out of 3,Unfurnished,2,,"₹7,564 per sqft ",₹50 Lac 
1 BHK Builder Floor for Sale in Kailash Nagar Surat,Super Area,400 sqft,Resale,Ready to Move,2 out of 4,Furnished,1,,"₹2,375 per sqft ",₹9.5 Lac 
1 BHK Apartment for Sale in Jahangir Pura Surat,Super Area,500 sqft,Resale,Ready to Move,2 out of 7,Unfurnished,1,,"₹4,400 per sqft ",₹22 Lac 
1 BHK Builder Floor for Sale in Udhana Surat,Super Area,350 sqft,Resale,Ready to Move,4 out of 5,Unfurnished,1,,"₹4,857 per sqft ",₹17 Lac 
2 BHK Builder Floor for Sale in Umra Surat,Super Area,1170 sqft,Resale,Ready to Move,3 out of 4,Furnished,2,,"₹4,701 per sqft ",₹55 Lac 
